game_date,opponent,attendance,competition,venue
2025-02-22,New England Revolution,23494,MLS Regular Season,GEODIS Park
2025-03-08,Portland Timbers,24432,MLS Regular Season,GEODIS Park
2025-03-22,CF Montréal,25301,MLS Regular Season,GEODIS Park
2025-03-29,FC Cincinnati,25640,MLS Regular Season,GEODIS Park
2025-04-12,Real Salt Lake,25625,MLS Regular Season,GEODIS Park
2025-04-26,Chicago Fire FC,24771,MLS Regular Season,GEODIS Park
2025-05-10,Charlotte FC,25002,MLS Regular Season,GEODIS Park
2025-05-14,New York Red Bulls,22549,MLS Regular Season,GEODIS Park
2025-05-17,DC United,25110,MLS Regular Season,GEODIS Park
2025-05-31,New York City FC,28351,MLS Regular Season,GEODIS Park
2025-07-05,Philadelphia Union,28896,MLS Regular Season,GEODIS Park
2025-07-16,Columbus Crew,28254,MLS Regular Season,GEODIS Park
2025-07-19,Toronto FC,28786,MLS Regular Season,GEODIS Park
2025-08-23,Orlando City SC,28014,MLS Regular Season,GEODIS Park
2025-08-30,Atlanta United FC,27270,MLS Regular Season,GEODIS Park
2025-09-27,Houston Dynamo FC,27763,MLS Regular Season,GEODIS Park
2025-10-18,Inter Miami CF,30109,MLS Regular Season,GEODIS Park
